SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,DSDV,7.5
1,0,0,5,DSDV,7.5
2,0,0,5,DSDV,7.5
3,0,0,5,DSDV,7.5
4,0,0,5,DSDV,7.5
5,0,0,5,DSDV,7.5
6,0,0,5,DSDV,7.5
7,0,0,5,DSDV,7.5
8,0,0,5,DSDV,7.5
9,0,0,5,DSDV,7.5
10,0,0,5,DSDV,7.5
11,11.264,22,5,DSDV,7.5
12,25.088,49,5,DSDV,7.5
13,25.6,50,5,DSDV,7.5
14,26.112,51,5,DSDV,7.5
15,24.064,47,5,DSDV,7.5
16,20.48,40,5,DSDV,7.5
17,27.648,54,5,DSDV,7.5
18,25.6,50,5,DSDV,7.5
19,25.088,49,5,DSDV,7.5
20,25.6,50,5,DSDV,7.5
21,25.088,49,5,DSDV,7.5
22,26.112,51,5,DSDV,7.5
23,25.088,49,5,DSDV,7.5
24,25.6,50,5,DSDV,7.5
25,26.112,51,5,DSDV,7.5
26,25.6,50,5,DSDV,7.5
27,25.088,49,5,DSDV,7.5
28,26.112,51,5,DSDV,7.5
29,25.6,50,5,DSDV,7.5
